"ID1","ID2","ID1_Inf_Sex","ID2_Inf_Sex","Inf_Sex_R2X","Inf_Sex_R2X_PLSDA","Inf_Sex_R2Y","Inf_Sex_Q2","FVM_R2X","FVM_R2X_PLSDA","FVM_R2Y","FVM_Q2","IVO_R2X","IVO_R2X_PLSDA","IVO_R2Y","IVO_Q2"
14,13,"F","F",0.507,0,0,0,0.507,0.335,0.826,0.554,0.507,0.329,0.81,0.398
15,13,"F","F",0.533,0,0,0,0.533,0.161,0.878,0.108,0.533,0.182,0.846,0.0618
16,13,"F","F",0.52,0,0,0,0.52,0.174,0.895,-0.0665,0.52,0.207,0.864,-0.00244
17,13,"F","F",0.507,0,0,0,0.507,0.156,0.867,0.266,0.507,0.156,0.864,0.234
18,13,"M","F",0.523,0.288,0.938,0.704,0.523,0.263,0.781,0.225,0.523,0.235,0.774,-0.128
19,13,"M","F",0.517,0.279,0.937,0.799,0.517,0.169,0.867,0.0707,0.517,0.216,0.861,0.343
2,13,"F","F",0.54,0,0,0,0.54,0.409,0.623,0.313,0.54,0.242,0.694,-0.8
20,13,"M","F",0.512,0.21,0.976,0.859,0.512,0.143,0.909,0.263,0.512,0.133,0.881,-0.205
21,13,"F","F",0.534,0,0,0,0.534,0.136,0.918,-0.195,0.534,0.159,0.88,0.225
3,13,"M","F",0.55,0.328,0.945,0.788,0.55,0.311,0.668,0.208,0.55,0.311,0.64,0.129
4,13,"M","F",0.561,0.47,0.872,0.828,0.561,0.396,0.673,0.127,0.561,0.397,0.584,0.225
5,13,"M","F",0.527,0.501,0.862,0.779,0.527,0.474,0.463,0.0546,0.527,0.455,0.493,0.218
6,13,"M","F",0.544,0.242,0.958,0.849,0.544,0.219,0.764,0.352,0.544,0.214,0.733,0.182
7,13,"F","F",0.592,0,0,0,0.592,0.514,0.459,-0.103,0.592,0.516,0.395,0.167
8,13,"F","F",0.536,0,0,0,0.536,0.151,0.835,0.122,0.536,0.258,0.737,0.148
9,13,"M","F",0.525,0.449,0.86,0.798,0.525,0.382,0.695,0.379,0.525,0.385,0.637,0.268
15,14,"F","F",0.544,0,0,0,0.544,0.336,0.705,0.348,0.544,0.313,0.833,0.367
16,14,"F","F",0.545,0,0,0,0.545,0.349,0.781,0.538,0.545,0.339,0.837,0.504
17,14,"F","F",0.502,0,0,0,0.502,0.302,0.803,0.512,0.502,0.294,0.84,0.204
18,14,"M","F",0.565,0.238,0.903,0.613,0.565,0.282,0.644,-0.0401,0.565,0.27,0.647,-0.203
19,14,"M","F",0.52,0.346,0.891,0.788,0.52,0.3,0.807,0.446,0.52,0.308,0.756,0.324
2,14,"F","F",0.535,0,0,0,0.535,0.412,0.49,-0.0237,0.535,0.365,0.526,-0.338
20,14,"M","F",0.52,0.352,0.923,0.868,0.52,0.303,0.781,0.428,0.52,0.303,0.774,0.419
21,14,"F","F",0.51,0,0,0,0.51,0.317,0.789,0.502,0.51,0.33,0.722,0.341
3,14,"M","F",0.556,0.324,0.924,0.8,0.556,0.299,0.675,0.283,0.556,0.313,0.548,0.0217
4,14,"M","F",0.564,0.4,0.868,0.808,0.564,0.361,0.629,0.146,0.564,0.369,0.594,0.15
5,14,"M","F",0.583,0.456,0.821,0.712,0.583,0.425,0.478,-0.016,0.583,0.419,0.498,0.206
6,14,"M","F",0.512,0.34,0.911,0.813,0.512,0.261,0.738,0.112,0.512,0.27,0.68,0.149
7,14,"F","F",0.537,0,0,0,0.537,0.479,0.429,0.0273,0.537,0.444,0.419,0.1
8,14,"F","F",0.505,0,0,0,0.505,0.299,0.728,0.343,0.505,0.277,0.648,-0.163
9,14,"M","F",0.536,0.353,0.905,0.682,0.536,0.316,0.664,0.139,0.536,0.312,0.645,-0.183
16,15,"F","F",0.518,0,0,0,0.518,0.163,0.906,0.45,0.518,0.158,0.876,0.154
17,15,"F","F",0.529,0,0,0,0.529,0.189,0.837,0.279,0.529,0.207,0.786,0.248
18,15,"M","F",0.506,0.298,0.896,0.822,0.506,0.239,0.735,0.111,0.506,0.213,0.788,-0.111
19,15,"M","F",0.504,0.262,0.946,0.858,0.504,0.217,0.831,0.272,0.504,0.214,0.819,0.185
2,15,"F","F",0.511,0,0,0,0.511,0.369,0.691,0.328,0.511,0.114,0.845,-0.81
20,15,"M","F",0.514,0.192,0.976,0.814,0.514,0.145,0.875,0.275,0.514,0.118,0.915,-0.103
21,15,"F","F",0.515,0,0,0,0.515,0.164,0.898,0.319,0.515,0.207,0.801,0.3
3,15,"M","F",0.53,0.315,0.936,0.804,0.53,0.254,0.728,0.137,0.53,0.262,0.716,0.147
4,15,"M","F",0.53,0.436,0.916,0.879,0.53,0.398,0.548,-0.00649,0.53,0.364,0.684,0.293
5,15,"M","F",0.506,0.478,0.88,0.801,0.506,0.451,0.466,0.0486,0.506,0.435,0.531,0.19
6,15,"M","F",0.527,0.304,0.952,0.889,0.527,0.188,0.792,0.315,0.527,0.23,0.748,0.146
7,15,"F","F",0.562,0,0,0,0.562,0.462,0.505,0.126,0.562,0.464,0.455,0.166
8,15,"F","F",0.508,0,0,0,0.508,0.167,0.813,0.192,0.508,0.222,0.779,0.0905
9,15,"M","F",0.54,0.394,0.925,0.893,0.54,0.339,0.722,0.437,0.54,0.34,0.731,0.371
17,16,"F","F",0.519,0,0,0,0.519,0.21,0.84,0.226,0.519,0.223,0.818,0.315
18,16,"M","F",0.52,0.322,0.893,0.829,0.52,0.26,0.727,0.125,0.52,0.245,0.74,-0.146
19,16,"M","F",0.506,0.278,0.932,0.813,0.506,0.237,0.798,0.294,0.506,0.229,0.833,0.404
2,16,"F","F",0.527,0,0,0,0.527,0.377,0.699,0.401,0.527,0.306,0.7,-0.654
20,16,"M","F",0.506,0.2,0.983,0.866,0.506,0.159,0.862,0.168,0.506,0.121,0.925,0.143
21,16,"F","F",0.529,0,0,0,0.529,0.207,0.902,0.384,0.529,0.212,0.864,0.486
3,16,"M","F",0.542,0.317,0.935,0.794,0.542,0.263,0.685,0.137,0.542,0.264,0.708,0.136
4,16,"M","F",0.543,0.442,0.9,0.856,0.543,0.404,0.6,0.0155,0.543,0.384,0.665,0.336
5,16,"M","F",0.521,0.488,0.864,0.771,0.521,0.476,0.428,0.043,0.521,0.455,0.485,0.132
6,16,"M","F",0.536,0.314,0.943,0.875,0.536,0.198,0.782,0.318,0.536,0.244,0.74,0.188
7,16,"F","F",0.593,0,0,0,0.593,0.494,0.495,-0.171,0.593,0.489,0.482,0.229
8,16,"F","F",0.517,0,0,0,0.517,0.163,0.791,0.0412,0.517,0.224,0.759,0.0833
9,16,"M","F",0.549,0.404,0.919,0.874,0.549,0.367,0.689,0.378,0.549,0.357,0.746,0.406
18,17,"M","F",0.545,0.247,0.908,0.632,0.545,0.231,0.783,-0.0113,0.545,0.211,0.758,-0.232
19,17,"M","F",0.509,0.227,0.931,0.635,0.509,0.182,0.866,0.22,0.509,0.188,0.85,0.0156
2,17,"F","F",0.51,0,0,0,0.51,0.383,0.647,0.374,0.51,0.242,0.758,-0.582
20,17,"M","F",0.527,0.205,0.959,0.807,0.527,0.129,0.905,0.13,0.527,0.151,0.868,0.124
21,17,"F","F",0.507,0,0,0,0.507,0.138,0.911,0.242,0.507,0.173,0.852,0.363
3,17,"M","F",0.517,0.313,0.947,0.791,0.517,0.288,0.719,0.249,0.517,0.288,0.682,0.156
4,17,"M","F",0.525,0.443,0.879,0.829,0.525,0.377,0.661,-0.00161,0.525,0.37,0.651,0.316
5,17,"M","F",0.505,0.48,0.867,0.785,0.505,0.449,0.484,0.0313,0.505,0.431,0.548,0.216
6,17,"M","F",0.531,0.239,0.964,0.872,0.531,0.213,0.773,0.338,0.531,0.203,0.764,0.251
7,17,"F","F",0.56,0,0,0,0.56,0.476,0.512,0.0248,0.56,0.457,0.525,0.183
8,17,"F","F",0.503,0,0,0,0.503,0.201,0.798,0.233,0.503,0.251,0.712,-0.256
9,17,"M","F",0.55,0.418,0.89,0.837,0.55,0.358,0.704,0.444,0.55,0.376,0.579,0.183
19,18,"M","M",0.526,0,0,0,0.526,0.226,0.794,0.181,0.526,0.155,0.846,-0.601
2,18,"F","M",0.568,0.393,0.891,0.788,0.568,0.389,0.506,0.143,0.568,0.335,0.609,-0.353
20,18,"M","M",0.521,0,0,0,0.521,0.23,0.748,0.098,0.521,0.208,0.772,-0.0613
21,18,"F","M",0.516,0.27,0.899,0.688,0.516,0.252,0.781,0.183,0.516,0.222,0.733,-0.0221
3,18,"M","M",0.533,0,0,0,0.533,0.253,0.719,0.19,0.533,0.255,0.613,-0.124
4,18,"M","M",0.528,0,0,0,0.528,0.348,0.586,-0.133,0.528,0.342,0.569,0.128
5,18,"M","M",0.562,0,0,0,0.562,0.433,0.448,0.0299,0.562,0.392,0.553,0.184
6,18,"M","M",0.503,0,0,0,0.503,0.229,0.718,0.216,0.503,0.231,0.691,-0.0779
7,18,"F","M",0.512,0.444,0.769,0.67,0.512,0.416,0.487,-0.036,0.512,0.446,0.435,0.11
8,18,"F","M",0.543,0.274,0.927,0.773,0.543,0.174,0.805,0.0979,0.543,0.236,0.715,-0.062
9,18,"M","M",0.501,0,0,0,0.501,0.331,0.599,0.163,0.501,0.306,0.677,0.209
2,19,"F","M",0.504,0.397,0.916,0.817,0.504,0.371,0.621,0.284,0.504,0.25,0.703,-0.93
20,19,"M","M",0.51,0,0,0,0.51,0.193,0.854,0.302,0.51,0.197,0.839,0.253
21,19,"F","M",0.502,0.242,0.931,0.711,0.502,0.208,0.838,0.232,0.502,0.194,0.818,0.0265
3,19,"M","M",0.53,0,0,0,0.53,0.259,0.682,0.0645,0.53,0.262,0.66,-0.0683
4,19,"M","M",0.529,0,0,0,0.529,0.373,0.62,0.0871,0.529,0.374,0.628,0.305
5,19,"M","M",0.582,0,0,0,0.582,0.45,0.441,-0.0981,0.582,0.431,0.538,0.183
6,19,"M","M",0.538,0,0,0,0.538,0.178,0.778,0.00842,0.538,0.213,0.737,0.00727
7,19,"F","M",0.554,0.465,0.793,0.69,0.554,0.477,0.437,0.0404,0.554,0.475,0.408,0.136
8,19,"F","M",0.515,0.268,0.952,0.859,0.515,0.179,0.797,-0.127,0.515,0.233,0.76,-0.225
9,19,"M","M",0.552,0,0,0,0.552,0.338,0.657,0.289,0.552,0.354,0.63,0.182
20,2,"M","F",0.551,0.405,0.938,0.869,0.551,0.36,0.706,0.406,0.551,0.317,0.761,-0.198
21,2,"F","F",0.518,0,0,0,0.518,0.37,0.698,0.341,0.518,0.126,0.827,-0.69
3,2,"M","F",0.516,0.32,0.807,0.642,0.516,0.314,0.699,0.262,0.516,0.278,0.667,-0.504
4,2,"M","F",0.541,0.284,0.808,0.477,0.541,0.368,0.591,0.184,0.541,0.336,0.652,0.231
5,2,"M","F",0.55,0.407,0.728,0.543,0.55,0.398,0.552,0.343,0.55,0.371,0.593,0.166
6,2,"M","F",0.535,0.348,0.84,0.738,0.535,0.304,0.788,0.572,0.535,0.159,0.803,-0.347
7,2,"F","F",0.608,0,0,0,0.608,0.246,0.683,0.0476,0.608,0.359,0.565,0.274
8,2,"F","F",0.513,0,0,0,0.513,0.313,0.766,0.364,0.513,0.247,0.712,-0.478
9,2,"M","F",0.525,0.325,0.866,0.661,0.525,0.304,0.735,0.181,0.525,0.291,0.656,0.147
21,20,"F","M",0.514,0.173,0.956,0.671,0.514,0.16,0.901,0.365,0.514,0.165,0.866,0.358
3,20,"M","M",0.503,0,0,0,0.503,0.239,0.772,0.15,0.503,0.259,0.712,0.146
4,20,"M","M",0.507,0,0,0,0.507,0.356,0.653,0.135,0.507,0.347,0.739,0.43
5,20,"M","M",0.585,0,0,0,0.585,0.441,0.519,0.114,0.585,0.419,0.599,0.261
6,20,"M","M",0.504,0,0,0,0.504,0.21,0.782,0.357,0.504,0.212,0.776,0.115
7,20,"F","M",0.544,0.435,0.882,0.846,0.544,0.42,0.62,0.147,0.544,0.459,0.501,0.301
8,20,"F","M",0.523,0.258,0.961,0.85,0.523,0.162,0.832,0.158,0.523,0.222,0.772,0.0395
9,20,"M","M",0.518,0,0,0,0.518,0.331,0.729,0.43,0.518,0.333,0.75,0.425
3,21,"M","F",0.525,0.311,0.946,0.804,0.525,0.285,0.628,-0.0367,0.525,0.298,0.632,-0.00041
4,21,"M","F",0.54,0.449,0.857,0.813,0.54,0.393,0.604,0.0507,0.54,0.375,0.662,0.307
5,21,"M","F",0.509,0.483,0.852,0.766,0.509,0.459,0.466,0.0477,0.509,0.433,0.548,0.208
6,21,"M","F",0.536,0.23,0.957,0.827,0.536,0.218,0.741,0.263,0.536,0.221,0.718,0.154
7,21,"F","F",0.568,0,0,0,0.568,0.471,0.512,-0.177,0.568,0.475,0.502,0.202
8,21,"F","F",0.515,0,0,0,0.515,0.175,0.819,0.0196,0.515,0.213,0.762,-0.0728
9,21,"M","F",0.502,0.419,0.872,0.799,0.502,0.347,0.744,0.331,0.502,0.381,0.598,0.249
4,3,"M","M",0.549,0,0,0,0.549,0.309,0.68,0.179,0.549,0.328,0.558,0.177
5,3,"M","M",0.529,0,0,0,0.529,0.38,0.639,0.202,0.529,0.383,0.575,0.204
6,3,"M","M",0.534,0,0,0,0.534,0.173,0.88,0.378,0.534,0.222,0.74,0.0211
7,3,"F","M",0.571,0.386,0.784,0.703,0.571,0.375,0.568,0.231,0.571,0.393,0.432,0.0914
8,3,"F","M",0.527,0.235,0.909,0.673,0.527,0.196,0.849,0.469,0.527,0.188,0.817,-0.159
9,3,"M","M",0.543,0,0,0,0.543,0.271,0.712,0.206,0.543,0.285,0.589,-0.183
5,4,"M","M",0.58,0,0,0,0.58,0.409,0.53,0.0239,0.58,0.398,0.543,0.247
6,4,"M","M",0.534,0,0,0,0.534,0.272,0.741,0.0556,0.534,0.306,0.681,0.213
7,4,"F","M",0.635,0.383,0.722,0.506,0.635,0.379,0.581,0.212,0.635,0.393,0.421,-0.0434
8,4,"F","M",0.535,0.368,0.839,0.754,0.535,0.297,0.731,-0.202,0.535,0.327,0.669,0.062
9,4,"M","M",0.552,0,0,0,0.552,0.258,0.707,0.222,0.552,0.292,0.667,-0.0789
6,5,"M","M",0.537,0,0,0,0.537,0.4,0.593,0.306,0.537,0.386,0.603,0.285
7,5,"F","M",0.585,0.414,0.698,0.494,0.585,0.244,0.564,-0.171,0.585,0.363,0.439,-0.136
8,5,"F","M",0.535,0.421,0.831,0.728,0.535,0.399,0.654,0.374,0.535,0.39,0.633,0.214
9,5,"M","M",0.578,0,0,0,0.578,0.411,0.506,0.166,0.578,0.418,0.46,0.0571
7,6,"F","M",0.573,0.385,0.856,0.807,0.573,0.361,0.705,0.246,0.573,0.378,0.592,0.323
8,6,"F","M",0.525,0.25,0.923,0.813,0.525,0.23,0.811,0.383,0.525,0.134,0.844,-0.037
9,6,"M","M",0.517,0,0,0,0.517,0.299,0.717,0.467,0.517,0.293,0.658,0.0976
8,7,"F","F",0.507,0,0,0,0.507,0.374,0.659,0.178,0.507,0.422,0.521,0.104
9,7,"M","F",0.651,0.431,0.598,0.342,0.651,0.404,0.5,-0.196,0.651,0.436,0.407,0.0928
9,8,"M","F",0.541,0.306,0.809,0.503,0.541,0.31,0.693,0.33,0.541,0.288,0.754,0.226
